Strain	Gene	z_score	Fold_change	Description	GO_function	GO_process	GO_component	Essential	Zygosity
YER174C::chr00_5	GRX4	1.33656	0.2194	Hydroperoxide and superoxide-radical responsive glutathione-dependent oxidoreductase; monothiol glutaredoxin subfamily member along with Grx3p and Grx5p; protects cells from oxidative damage	"disulfide oxidoreductase activity (ISS, IMP, IGI); electron carrier activity (IEA); protein disulfide oxidoreductase activity (IEA)"	"cell redox homeostasis (IEA); cellular iron ion homeostasis (IGI, IPI); response to oxidative stress (IMP, IGI); transport (IEA)"	"intracellular (TAS); nucleus (IPI, IGI)"	no	hom
YER175C::chr00_5	TMT1	-0.173857	-0.0358522	"Trans-aconitate methyltransferase, cytosolic enzyme that catalyzes the methyl esterification of 3-isopropylmalate, an intermediate of the leucine biosynthetic pathway, and trans-aconitate, which inhibits the citric acid cycle"	"methyltransferase activity (IEA); trans-aconitate 3-methyltransferase activity (IEA, IDA); transferase activity (IEA)"	biological_process (ND)	cytoplasm (IEA); cytosol (IDA)	no	hom
YER175W-A::chr00_20	YER175W-A	-0.333727	-0.0376297	"Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching"	molecular_function (ND)	biological_process (ND)	cellular_component (ND)	no	hom
YER176W::chr00_5	ECM32	-1.8163	-0.179821	"DNA dependent ATPase/DNA helicase belonging to the Dna2p- and Nam7p-like family of helicases that is involved in modulating translation termination; interacts with the translation termination factors, localized to polysomes"	ATP binding (IEA); DNA binding (IEA); DNA helicase activity (IDA); RNA binding (IEA); RNA helicase activity (ISS); helicase activity (IEA); hydrolase activity (IEA); nucleotide binding (IEA)	regulation of translational termination (IMP)	cytoplasm (IEA); polysome (IDA)	no	hom
YER177W::chr00_5	BMH1	-0.868912	-0.128956	"14-3-3 protein, major isoform; controls proteome at post-transcriptional level, binds proteins and DNA, involved in regulation of many processes including exocytosis, vesicle transport, Ras/MAPK signaling, and rapamycin-sensitive signaling"	DNA replication origin binding (IDA); protein binding (TAS); protein domain specific binding (IEA)	DNA damage checkpoint (IMP); Ras protein signal transduction (IGI); ascospore formation (IGI); cell wall chitin biosynthetic process (IGI); glycogen metabolic process (IGI); negative regulation of ubiquitin-protein ligase activity during mitotic cell cycle (IPI); pseudohyphal growth (IGI); signal transduction during filamentous growth (IGI)	nucleus (IDA)	no	hom
YER178W::chr00_5	PDA1	1.50126	0.225903	"E1 alpha subunit of the pyruvate dehydrogenase (PDH) complex, catalyzes the direct oxidative decarboxylation of pyruvate to acetyl-CoA; phosphorylated; regulated by glucose"	"oxidoreductase activity (IEA); oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor (IEA); pyruvate dehydrogenase (acetyl-transferring) activity (IMP, IEA, TAS)"	glycolysis (IEA); metabolic process (IEA); oxidation reduction (IEA); pyruvate metabolic process (NAS)	"mitochondrial matrix (IEA); mitochondrial nucleoid (IDA); mitochondrial pyruvate dehydrogenase complex (TAS); mitochondrion (IDA, IEA)"	no	hom
YER179W::chr00_5	DMC1	0.220525	0.0511358	Meiosis-specific protein required for repair of double-strand breaks and pairing between homologous chromosomes; homolog of Rad51p and the bacterial RecA protein	ATP binding (IEA); DNA binding (IEA); DNA-dependent ATPase activity (IEA); double-stranded DNA binding (IDA); nucleoside-triphosphatase activity (IEA); nucleotide binding (IEA); single-stranded DNA binding (IDA)	"DNA metabolic process (IEA); cell cycle (IEA); meiosis (IMP, IEA); meiotic joint molecule formation (IMP); meiotic recombination (IMP, IEA); sporulation (IEA)"	"condensed nuclear chromosome (IDA); nucleus (IEA, IDA)"	no	hom
YER180C-A::chr00_20	SLO1	0.467304	0.037666	"Protein interacting with Arl3p, which is a GTPase of the Ras superfamily involved in vesicle-tethering at the Golgi; putative ortholog of human SCOCO"	small GTPase regulator activity (ISS)	protein targeting to vacuole (IPI)	cytoplasm (NAS)	no	hom
YER180C::chr00_5	ISC10	-1.84352	-0.176765	"Protein required for sporulation, transcript is induced 7.5 hours after induction of meiosis, expected to play significant role in the formation of reproductive cells"	molecular_function (ND)	"cell cycle (IEA); meiosis (IEA); sporulation (IEA, IMP)"	cellular_component (ND)	no	hom
YER181C::chr00_5	YER181C	0.380895	0.027715	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative data; extensively overlaps a Ty1 LTR; protein product is detected in highly purified mitochondria in high-throughput studies"				no	hom
YER182W::chr00_5	FMP10	0.0636173	-0.0115482	"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"	molecular_function (ND)	biological_process (ND)	integral to membrane (IEA); membrane (IEA); mitochondrion (IDA)	no	hom
YER183C::chr00_5	FAU1	0.514986	0.0525357	"5,10-methenyltetrahydrofolate synthetase, involved in folic acid biosynthesis"	"5-formyltetrahydrofolate cyclo-ligase activity (IDA, IEA); ATP binding (IEA); ligase activity (IEA)"	"folic acid and derivative biosynthetic process (IEA, IDA)"	mitochondrion (IDA)	no	hom
YER184C::chr00_5	YER184C	-0.0615907	-0.00876987	"Putative zinc cluster protein; deletion confers sensitivity to Calcufluor white, and prevents growth on glycerol or lactate as sole carbon source"	DNA binding (IEA); metal ion binding (IEA); molecular_function (ND); transcription factor activity (IEA); zinc ion binding (IEA)	"biological_process (ND); regulation of transcription, DNA-dependent (IEA); transcription (IEA)"	cellular_component (ND); nucleus (IEA)	no	hom
YER185W::chr00_5	PUG1	-0.0237209	-0.00196315	Plasma membrane protein with roles in the uptake of protoprophyrin IX and the efflux of heme; expression is induced under both low-heme and low-oxygen conditions	molecular_function (ND)	heme transport (IMP); response to stress (IEA)	"integral to membrane (IEA, ISS); membrane (IEA); plasma membrane (IDA)"	no	hom
YER186C::chr00_5	YER186C	-0.802309	-0.0905731	Putative protein of unknown function	molecular_function (ND)	biological_process (ND)	cellular_component (ND)	no	hom
YER186W-A::chr00_21	YER186W-A	-0.733596	-0.0539866	"Deleted ORF, does not encode a protein; the YER186W-A was removed because it does not begin with a start codon or end with a stop codon, and has an in-frame internal stop codon (see the Locus History for more details)"				no	hom
YER187W::chr00_5	YER187W	-0.198872	-0.0225796	Putative protein of unknown function; induced in respiratory-deficient cells	molecular_function (ND)	biological_process (ND)	cellular_component (ND)	no	hom
YER188W::chr00_2	YER188W	0.395601	0.0709315	Hypothetical protein				no	hom
YFL001W::chr00_17a	DEG1	0.106533	0.0272717	"Non-essential tRNA:pseudouridine synthase, introduces pseudouridines at position 38 or 39 in tRNA, important for maintenance of translation efficiency and normal cell growth, localizes to both the nucleus and cytoplasm"	"isomerase activity (IEA); pseudouridine synthase activity (IDA, IEA, IMP); tRNA binding (IEA)"	"pseudouridine synthesis (IEA); tRNA processing (IEA); tRNA pseudouridine synthesis (IDA, IMP)"	"cytoplasm (IDA); nucleus (IEA, IDA)"	no	hom
YFL002C::chr00_17a	SPB4	-4.04841	-1.09655	"Putative ATP-dependent RNA helicase, nucleolar protein required for synthesis of 60S ribosomal subunits at a late step in the pathway; sediments with 66S pre-ribosomes in sucrose gradients"	ATP binding (IEA); ATP-dependent RNA helicase activity (TAS); ATP-dependent helicase activity (IEA); RNA binding (IEA); helicase activity (IEA); hydrolase activity (IEA); nucleic acid binding (IEA); nucleotide binding (IEA)	"rRNA processing (TAS, IEA); ribosomal large subunit assembly and maintenance (TAS); ribosome biogenesis and assembly (RCA, IEA)"	nucleolus (TAS); nucleus (IEA)	yes	het
YFL003C::chr00_17a	MSH4	-0.394931	-0.0230699	"Protein involved in meiotic recombination, required for normal levels of crossing over, colocalizes with Zip2p to discrete foci on meiotic chromosomes, has homology to bacterial MutS protein"	"ATP binding (IEA); DNA binding (IEA, IPI); mismatched DNA binding (IEA); nucleotide binding (IEA)"	meiosis (IEA); meiotic recombination (IMP); mismatch repair (IEA)	nuclear chromosome (IDA)	no	hom
YFL004W::chr00_17a	VTC2	-0.524595	-0.0460435	Vacuolar membrane protein involved in vacuolar polyphosphate accumulation; functions as a regulator of vacuolar H+-ATPase activity and vacuolar transporter chaperones; involved in protein localization and non-autophagic vacuolar fusion	molecular_function (ND)	"microautophagy (IMP, IDA); protein localization (IMP); vacuolar transport (IMP, IDA); vacuole fusion, non-autophagic (IMP, IPI)"	"endoplasmic reticulum (IDA); integral to membrane (IEA); membrane (IEA); vacuolar membrane (IEA, IDA); vacuolar transporter chaperone complex (IPI); vacuole (IEA)"	no	hom
YFL005W::chr00_17a	SEC4	-1.44664	-0.175465	Secretory vesicle-associated Rab GTPase essential for exocytosis; associates with the exocyst component Sec15p and may regulate polarized delivery of transport vesicles to the exocyst at the plasma membrane	"GTP binding (IEA, IDA); GTPase activity (IDA); nucleotide binding (IEA)"	"Golgi to plasma membrane transport (IMP); ascospore-type prospore formation (IMP); bipolar cellular bud site selection (TAS); cytokinesis (TAS); exocytosis (IEA, IDA); membrane addition at site of cytokinesis (IGI, IEP, IMP); protein transport (IEA); small GTPase mediated signal transduction (IEA, TAS); transport (IEA); vesicle fusion (IMP)"	actin cap (TAS); cytoplasm (IEA); cytoplasmic vesicle (IEA); incipient cellular bud site (IDA); membrane (IEA); mitochondrial outer membrane (IDA); mitochondrion (IDA); plasma membrane (IEA); transport vesicle (TAS); vesicle (IDA)	yes	het
YFL006W::chr6_1	YFL006W	-0.310431	-0.0672077	"Merged open reading frame, does not encode a discrete protein; YFL006W was originally annotated as an independent ORF, but as a result of a sequence change, it was merged with an adjacent ORF into a single reading frame, designated YFL007W"				no	hom
YFL007W::chr00_17a	BLM10	0.289919	0.0352614	"Proteosome activator subunit; found in association with core particles, with and without the 19S regulatory particle; required for resistance to bleomycin, may be involved in protecting against oxidative damage; similar to mammalian PA200"	"binding (IEA); proteasome activator activity (IMP, IDA)"	"proteasome assembly (IMP); protein catabolic process (IMP, IGI)"	"cytoplasm (IEA); nucleus (IEA, IDA); proteasome complex (IDA); proteasome core complex (IDA, IMP)"	no	hom
YFL008W::chr6_1	SMC1	1.36463	0.15352	"Subunit of the multiprotein cohesin complex, essential protein involved in chromosome segregation and in double-strand DNA break repair; SMC chromosomal ATPase family member, binds DNA with a preference for DNA with secondary structure"	"AT DNA binding (IDA); ATP binding (IEA); ATPase activity (ISS, IEA); DNA secondary structure binding (IDA); double-stranded DNA binding (IDA); nucleotide binding (IEA)"	cell cycle (IEA); cell division (IEA); chromosome organization and biogenesis (IEA); double-strand break repair (IMP); mitosis (IEA); mitotic sister chromatid cohesion (IMP); mitotic sister chromatid segregation (IMP)	chromosome (IEA); nuclear cohesin complex (IDA); nucleus (IEA)	yes	het
YFL009W::chr6_1	CDC4	0.138586	0.0281506	"F-box protein required for G1/S and G2/M transition, associates with Skp1p and Cdc53p to form a complex, SCFCdc4, which acts as ubiquitin-protein ligase directing ubiquitination of the phosphorylated CDK inhibitor Sic1p"	ubiquitin-protein ligase activity (IDA)	"G1/S transition of mitotic cell cycle (IMP); G2/M transition of mitotic cell cycle (IMP, IGI); SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (IDA); cell cycle (IEA); cell division (IEA); meiosis (IMP); mitosis (IEA); protein ubiquitination during ubiquitin-dependent protein catabolic process (IDA); sporulation (IEA); ubiquitin cycle (IEA)"	"SCF ubiquitin ligase complex (IPI, IDA); nuclear SCF ubiquitin ligase complex (IDA); nuclear matrix (IDA); nucleus (IEA, IDA)"	yes	het
YFL010C::chr00_17a	WWM1	0.323794	0.0453678	"WW domain containing protein of unknown function; binds to Mca1p, a caspase-related protease that regulates H2O2-induced apoptosis; overexpression causes Gi phase growth arrest and clonal death that is suppressed by overexpression of MCA1"	molecular_function (ND)	biological_process (ND)	cytoplasm (IDA); integral to membrane (IEA); membrane (IEA); mitochondrion (IDA); nucleus (IDA)	no	hom
YFL010W-A::chr00_17a	AUA1	0.309192	0.0378384	"Protein required for the negative regulation by ammonia of Gap1p, which is a general amino acid permease"	molecular_function (ND)	amino acid transport (IMP)	cellular_component (ND)	no	hom
YFL010W-A::chr00_23	AUA1	-0.683645	-0.0560274	"Protein required for the negative regulation by ammonia of Gap1p, which is a general amino acid permease"	molecular_function (ND)	amino acid transport (IMP)	cellular_component (ND)	no	hom
YFL011W::chr6_1	HXT10	-0.365422	-0.0338987	"Putative hexose transporter, expressed at low levels and expression is repressed by glucose"	fructose transmembrane transporter activity (IGI); galactose transmembrane transporter activity (IGI); glucose transmembrane transporter activity (IGI); mannose transmembrane transporter activity (IGI); substrate-specific transmembrane transporter activity (IEA); sugar:hydrogen symporter activity (IEA); transporter activity (IEA)	carbohydrate transport (IEA); hexose transport (IGI); transmembrane transport (IEA); transport (IEA)	integral to membrane (IEA); membrane (IEA); mitochondrion (IDA); plasma membrane (ISS)	no	hom
YFL012W::chr00_17a	YFL012W	-0.0754997	-0.00352121	Putative protein of unknown function; transcribed during sporulation; null mutant exhibits increased resistance to rapamycin	molecular_function (ND)	biological_process (ND)	cellular_component (ND)	no	hom
YFL013C::chr00_17a	IES1	1.50046	0.169115	Subunit of the INO80 chromatin remodeling complex	molecular_function (ND)	"chromatin remodeling (IPI); regulation of transcription, DNA-dependent (IEA); transcription (IEA)"	"INO80 complex (IPI); nucleus (IEA, IDA)"	no	hom
YFL013W-A::chr00_15	YFL013W-A	-0.231361	-0.0274461	"Dubious ORF unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps IES1/YFL013C; identified by gene-trapping, microarray expression analysis, and genome-wide homology searching"				no	hom
YFL014W::chr00_15	HSP12	0.92882	0.125597	"Plasma membrane localized protein that protects membranes from desiccation; induced by heat shock, oxidative stress, osmostress, stationary phase entry, glucose depletion, oleate and alcohol; regulated by the HOG and Ras-Pka pathways"	molecular_function (ND)	cell adhesion (IDA); hyperosmotic response (TAS); response to heat (TAS); response to oxidative stress (TAS); response to stress (IEA)	cytoplasm (IDA); nucleus (IDA); plasma membrane (IDA)	no	hom
YFL015C::chr6_1	YFL015C	-0.348225	-0.0583189	Dubious open reading frame unlikely to encode a protein; partially overlaps dubious ORF YFL015W-A; YFL015C is not an essential gene				no	hom
YFL016C::chr00_17a	MDJ1	2.99804	1.02387	Co-chaperone that stimulates the ATPase activity of the HSP70 protein Ssc1p; involved in protein folding/refolding in the mitochodrial matrix; required for proteolysis of misfolded proteins; member of the HSP40 (DnaJ) family of chaperones	"ATPase activator activity (IDA); Hsp70/Hsc70 protein regulator activity (IMP); heat shock protein binding (IEA); metal ion binding (IEA); unfolded protein binding (IMP, IEA); zinc ion binding (IEA)"	"'de novo' protein folding (IMP); misfolded or incompletely synthesized protein catabolic process (IMP); mitochondrial genome maintenance (IMP); protein folding (IEA); protein refolding (IDA, IMP); response to heat (IMP); response to stress (IEA)"	"extrinsic to mitochondrial inner membrane (IDA); mitochondrial matrix (IDA); mitochondrion (IDA, IEA)"	no	hom
YFL017C::chr6_1	GNA1	0.282204	0.0201004	"Evolutionarily conserved glucosamine-6-phosphate acetyltransferase required for multiple cell cycle events including passage through START, DNA synthesis, and mitosis; involved in UDP-N-acetylglucosamine synthesis, forms GlcNAc6P from AcCoA"	"N-acetyltransferase activity (IEA); acyltransferase activity (IEA); glucosamine 6-phosphate N-acetyltransferase activity (IDA, IEA); transferase activity (IEA)"	"UDP-N-acetylglucosamine biosynthetic process (IMP, IDA); metabolic process (IEA)"	cytoplasm (IDA); nucleus (IDA)	yes	het
YFL018C::chr6_1	LPD1	0.564103	0.0873712	"Dihydrolipoamide dehydrogenase, the lipoamide dehydrogenase component (E3) of the pyruvate dehydrogenase and 2-oxoglutarate dehydrogenase multi-enzyme complexes"	"FAD binding (IEA); dihydrolipoyl dehydrogenase activity (IDA, IEA); electron carrier activity (IEA); glycine dehydrogenase (decarboxylating) activity (IMP); oxidoreductase activity (IEA); oxoglutarate dehydrogenase (succinyl-transferring) activity (IMP); pyruvate dehydrogenase activity (IMP)"	"2-oxoglutarate metabolic process (IMP); L-serine biosynthetic process (IMP); cell redox homeostasis (IEA); glycine catabolic process (IMP); hydrogen peroxide metabolic process (IGI, IMP); isoleucine catabolic process (IMP); leucine catabolic process (IMP); oxidation reduction (IEA); pyruvate metabolic process (IMP); valine catabolic process (IMP)"	"cytoplasm (IEA); glycine cleavage complex (IMP); mitochondrial matrix (IEA); mitochondrial nucleoid (IDA); mitochondrial oxoglutarate dehydrogenase complex (IDA); mitochondrion (IDA, IEA)"	no	hom
YFL018W-A::chr6_1	YFL018W-A	3.27285	0.2453						het
YFL019C::chr00_15	YFL019C	0.737645	0.129823	Dubious open reading frame unlikely to encode a protein; YFL019C is not an essential gene				no	hom
YFL020C::chr6_1	PAU5	0.32314	0.053425	"Part of 23-member seripauperin multigene family encoded mainly in subtelomeric regions, active during alcoholic fermentation, regulated by anaerobiosis, negatively regulated by oxygen, repressed by heme"	molecular_function (ND)	biological_process (ND); response to stress (IEA)	integral to membrane (IEA); integral to membrane of membrane fraction (IDA); membrane (IEA); soluble fraction (IDA)	no	hom
YFL021W::chr6_1	GAT1	-0.439753	-0.0327011	Transcriptional activator of genes involved in nitrogen catabolite repression; contains a GATA-1-type zinc finger DNA-binding motif; activity and localization regulated by nitrogen limitation and Ure2p	"DNA binding (IEA); metal ion binding (IEA); sequence-specific DNA binding (IEA); specific RNA polymerase II transcription factor activity (IDA); transcription activator activity (IDA, TAS); transcription factor activity (IEA); zinc ion binding (IEA)"	"positive regulation of transcription (IDA); regulation of nitrogen utilization (IMP); regulation of transcription, DNA-dependent (IEA); transcription (IEA); transcription initiation from RNA polymerase II promoter (IDA)"	"cytosol (IDA); nucleus (IEA, IDA, TAS)"	no	hom
YFL022C::chr6_1	FRS2	0.474732	0.100834	"Alpha subunit of cytoplasmic phenylalanyl-tRNA synthetase, forms a tetramer with Frs1p to form active enzyme; evolutionarily distant from mitochondrial phenylalanyl-tRNA synthetase based on protein sequence, but substrate binding is similar"	"ATP binding (IEA); aminoacyl-tRNA ligase activity (IEA); ligase activity (IEA); nucleotide binding (IEA); phenylalanine-tRNA ligase activity (ISS, IEA, IMP)"	"phenylalanyl-tRNA aminoacylation (TAS, IEA); tRNA aminoacylation for protein translation (IEA); translation (IEA)"	"cytoplasm (IDA, IEA, TAS); phenylalanine-tRNA ligase complex (IDA)"	yes	het
YFL023W::chr6_1	BUD27	-0.410032	-0.0602226	"Protein involved in bud-site selection, nutrient signaling, and gene expression controlled by TOR kinase; diploid mutants show a random budding pattern rather than the wild-type bipolar pattern; plays a role in regulating Ty1 transposition"	molecular_function (ND); unfolded protein binding (IEA)	"cellular bud site selection (IMP); negative regulation of transposition, RNA-mediated (IMP); protein folding (IEA)"	"cytoplasm (IDA, IEA); prefoldin complex (IEA)"	no	hom
YFL024C::chr6_1	EPL1	2.04325	0.145165	"Component of NuA4, which is an essential histone H4/H2A acetyltransferase complex; homologous to Drosophila Enhancer of Polycomb"	H4/H2A histone acetyltransferase activity (IDA)	"DNA repair (IDA, IEA); cell cycle (IEA); histone acetylation (IDA); regulation of transcription from RNA polymerase II promoter (IDA); regulation of transcription, DNA-dependent (IEA); response to DNA damage stimulus (IEA); transcription (IEA)"	NuA4 histone acetyltransferase complex (IPI); Piccolo NuA4 histone acetyltransferase complex (IDA); nucleus (IEA)	yes	het
YFL025C::chr6_1	BST1	-1.74663	-0.238022	"GPI inositol deacylase of the ER that negatively regulates COPII vesicle formation, prevents production of vesicles with defective subunits, required for proper discrimination between resident ER proteins and Golgi-bound cargo molecules"	"carboxylesterase activity (IGI); hydrolase activity (IEA); hydrolase activity, acting on ester bonds (IEA)"	"ER to Golgi vesicle-mediated transport (IMP); ER-associated protein catabolic process (IMP); GPI anchor metabolic process (IGI, IEA); intracellular protein transport (IEA); protein retention in ER lumen (IMP); protein transport (IEA); transport (IEA); vesicle organization and biogenesis (IGI, IMP)"	"endoplasmic reticulum (IEA, IDA); endoplasmic reticulum membrane (IEA); integral to membrane (IEA, ISS); intrinsic to endoplasmic reticulum membrane (IEA); membrane (IEA)"	no	hom
YFL026W::chr00_16b	STE2	0.0164317	0.0103096	Receptor for alpha-factor pheromone; seven transmembrane-domain GPCR that interacts with both pheromone and a heterotrimeric G protein to initiate the signaling response that leads to mating between haploid a and alpha cells	"G-protein coupled receptor activity (IEA); mating-type alpha-factor pheromone receptor activity (ISS, IDA, IGI, IMP); mating-type factor pheromone receptor activity (IEA); receptor activity (IEA); signal transducer activity (IEA)"	"G-protein coupled receptor protein signaling pathway (IEA); cell projection biogenesis (IMP); cytogamy (IMP, IDA); pheromone-dependent signal transduction during conjugation with cellular fusion (IMP); protein homooligomerization (IPI); response to pheromone (IEA); signal transduction (IEA)"	integral to membrane (IEA); integral to plasma membrane (IDA); membrane (IEA); membrane fraction (IDA)	no	het
YFL027C::chr6_1	GYP8	-1.35484	-0.187026	"GTPase-activating protein for yeast Rab family members; Ypt1p is the preferred in vitro substrate but also acts on Sec4p, Ypt31p and Ypt32p; involved in the regulation of ER to Golgi vesicle transport"	"GTPase activator activity (IEA); Rab GTPase activator activity (IEA, IGI, IPI, ISS)"	regulation of Rab GTPase activity (IEA); vesicle-mediated transport (IGI)	"intracellular (IEA, IDA)"	no	hom
YFL028C::chr6_1	CAF16	1.01573	0.0962955	"Part of the evolutionarily-conserved CCR4-NOT transcriptional regulatory complex involved in controlling mRNA initiation, elongation, and degradation; putative ABC ATPase; interacts with Ssn2p, Ssn3p, and Ssn8p"	"ATP binding (IEA); ATPase activity (ISS, IEA); nucleoside-triphosphatase activity (IEA); nucleotide binding (IEA)"	"regulation of transcription, DNA-dependent (IMP, IPI); transport (IEA)"	CCR4-NOT complex (IPI); cytoplasm (IDA)	no	hom
YFL029C::chr00_18	CAK1	-1.76209	-0.192017	"Cyclin-dependent kinase-activating kinase required for passage through the cell cycle, phosphorylates and activates Cdc28p; nucleotide-binding pocket differs significantly from those of most other protein kinases"	"ATP binding (IEA); cyclin-dependent protein kinase activating kinase activity (IDA, IMP, IPI); cyclin-dependent protein kinase activity (IEA); kinase activity (IEA); nucleotide binding (IEA); protein kinase activity (IEA); protein serine/threonine kinase activity (IEA); transferase activity (IEA)"	"G1 phase of mitotic cell cycle (IMP); G2/M transition of mitotic cell cycle (IMP); meiosis (IMP, IGI); protein amino acid phosphorylation (IMP, IEA, IDA)"	cytoplasm (IDA)	yes	het
YFL030W::chr6_1	AGX1	-0.790911	-0.084791	"Alanine:glyoxylate aminotransferase (AGT), catalyzes the synthesis of glycine from glyoxylate, which is one of three pathways for glycine biosynthesis in yeast; has similarity to mammalian and plant alanine:glyoxylate aminotransferases"	"alanine-glyoxylate transaminase activity (IMP, IEA, IDA); catalytic activity (IEA); pyridoxal phosphate binding (IEA); transaminase activity (IEA); transferase activity (IEA)"	"glycine biosynthetic process, by transamination of glyoxylate (IDA); metabolic process (IEA); oxidative photosynthetic carbon pathway (IEA)"	mitochondrion (IDA)	no	hom
YFL031W::chr00_22	HAC1	-0.780347	-0.0988289	"Basic leucine zipper (bZIP) transcription factor (ATF/CREB1 homolog) that regulates the unfolded protein response, via UPRE binding, and membrane biogenesis; ER stress-induced splicing pathway facilitates efficient Hac1p synthesis"	"DNA binding (IEA); protein dimerization activity (IEA); sequence-specific DNA binding (IEA); specific RNA polymerase II transcription factor activity (TAS); transcription factor activity (IEA, IDA)"	"endoplasmic reticulum unfolded protein response (IMP); phospholipid metabolic process (TAS); positive regulation of gene-specific transcription involved in unfolded protein response (IMP); positive regulation of transcription, DNA-dependent (IDA); regulation of transcription from RNA polymerase II promoter (TAS); regulation of transcription, DNA-dependent (IEA); response to unfolded protein (IEA); transcription (IEA)"	"nucleus (IEA, IDA)"	no	hom
YFL031W::chr6_1	HAC1	0.743937	0.0498513	"Basic leucine zipper (bZIP) transcription factor (ATF/CREB1 homolog) that regulates the unfolded protein response, via UPRE binding, and membrane biogenesis; ER stress-induced splicing pathway facilitates efficient Hac1p synthesis"	"DNA binding (IEA); protein dimerization activity (IEA); sequence-specific DNA binding (IEA); specific RNA polymerase II transcription factor activity (TAS); transcription factor activity (IEA, IDA)"	"endoplasmic reticulum unfolded protein response (IMP); phospholipid metabolic process (TAS); positive regulation of gene-specific transcription involved in unfolded protein response (IMP); positive regulation of transcription, DNA-dependent (IDA); regulation of transcription from RNA polymerase II promoter (TAS); regulation of transcription, DNA-dependent (IEA); response to unfolded protein (IEA); transcription (IEA)"	"nucleus (IEA, IDA)"	no	hom
YFL032W::chr6_1	YFL032W	-0.48354	-0.0490317	"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the verified gene HAC1/YFL031W; YFL032W is not an essential gene"				no	hom
YFL033C::chr00_17a/chr00_18	RIM15	0.522941	0.0366674	"Glucose-repressible protein kinase involved in signal transduction during cell proliferation in response to nutrients, specifically the establishment of stationary phase; identified as a regulator of IME2; substrate of Pho80p-Pho85p kinase"	"ATP binding (IEA); kinase activity (IEA); nucleotide binding (IEA); protein kinase activity (IEA, IDA); protein serine/threonine kinase activity (ISS, IEA); transferase activity (IEA); two-component response regulator activity (IEA)"	"age-dependent response to oxidative stress during chronological cell aging (IMP); meiosis (IEA); protein amino acid phosphorylation (IEA, IDA); regulation of meiosis (IMP); regulation of transcription, DNA-dependent (IEA); response to stress (IMP); two-component signal transduction system (phosphorelay) (IEA)"	"cytoplasm (IDA, IEA); nucleus (IEA, IDA)"	no	hom
YFL034C-A::chr00_2	RPL22B	-1.55409	-0.238163	"Protein component of the large (60S) ribosomal subunit, has similarity to Rpl22Ap and to rat L22 ribosomal protein"	"structural constituent of ribosome (IEA, IDA)"	"translation (IEA, IDA)"	cytoplasm (IEA); cytosolic large ribosomal subunit (IDA); intracellular (IEA); ribonucleoprotein complex (IEA); ribosome (IEA)	no	hom
YFL034W::chr6_1	YFL034W	-0.793261	-0.104175	"Putative integral membrane protein that interacts with Rpp0p, which is a component of the ribosomal stalk"	molecular_function (ND)	biological_process (ND)	"integral to membrane (IEA, ISS); membrane (IEA)"	no	hom
YFL035C-A::chr6_1	YFL035C-A	1.78245	0.217986						het
YFL035C-B::chr6_1	YFL035C-B	-0.815441	-0.0509111						hom
YFL035C::chr6_1	YFL035C								het
YFL036W::chr6_1	RPO41	-0.35862	-0.0367337	Mitochondrial RNA polymerase; single subunit enzyme similar to those of T3 and T7 bacteriophages; requires a specificity subunit encoded by MTF1 for promoter recognition	"DNA binding (IEA); DNA-directed RNA polymerase activity (IEA, IDA); nucleotidyltransferase activity (IEA); transferase activity (IEA)"	mitochondrial genome maintenance (IMP); transcription (IEA); transcription from mitochondrial promoter (IMP)	"mitochondrial DNA-directed RNA polymerase complex (IDA); mitochondrial matrix (IDA); mitochondrial nucleoid (IDA); mitochondrion (IDA, IEA)"	no	hom
YFL037W::chr6_1	TUB2	-0.353957	-0.0552936	"Beta-tubulin; associates with alpha-tubulin (Tub1p and Tub3p) to form tubulin dimer, which polymerizes to form microtubules"	GTP binding (IEA); GTPase activity (IEA); nucleotide binding (IEA); structural constituent of cytoskeleton (TAS); structural molecule activity (IEA)	"homologous chromosome segregation (TAS); microtubule-based movement (IEA); microtubule-based process (IEA); mitotic sister chromatid segregation (TAS); nuclear migration during conjugation with cellular fusion (TAS); nuclear migration, microtubule-mediated (TAS); protein polymerization (IEA); response to antibiotic (IEA)"	cytoplasm (IEA); cytoplasmic microtubule (TAS); kinetochore microtubule (TAS); microtubule (IEA); nuclear microtubule (TAS); polar microtubule (TAS); protein complex (IEA); spindle pole body (IDA); tubulin complex (TAS)	yes	het
