orf::batch:tagtype	Gene	T0	30C_T1	30C_T2	30C_T3	30C_T4	30C_T5	37C_T1	37C_T2	37C_T3	37C_T4	37C_T5	30C_RAPA_T1	30C_RAPA_T2	30C_RAPA_T3	Description	feature_qualifier	GO_process	GO_function	GO_component	essential_gene	zygosity
YCR067C::chr00_16a:uptag	SED4	924	1290.6	1303.4	1516.4	1408	1117.8	1202.6	1281.2	980	1570	1026	1441.4	1147.6	34.8	Integral endoplasmic reticulum membrane protein, functions as a positive regulator of Sar1p probably through inhibition of GTPase activation by Sec23p; binds Sec16p, participates in vesicle formation, similar to Sec12p	Verified	ER to Golgi vesicle-mediated transport	molecular function unknown	endoplasmic reticulum*	no	hom
YCR068W::chr00_1:downtag	ATG15	786.4	760.8	629.6	329.8	83.2	289.2	617.6	476.2	289.8	56.8	65.4	237.8	343.6	39.4	Lipase, required for intravacuolar lysis of autophagic bodies; located in the endoplasmic reticulum membrane and targeted to intravacuolar vesicles during autophagy via the multivesicular body (MVB) pathway	Verified	autophagy*	lipase activity	integral to membrane*	no	hom
YCR068W::chr00_1:uptag	ATG15	610.2	419.2	371.2	268.6	251.4	228	391.4	364.4	150.6	119.8	57.2	234	54.6	36	Lipase, required for intravacuolar lysis of autophagic bodies; located in the endoplasmic reticulum membrane and targeted to intravacuolar vesicles during autophagy via the multivesicular body (MVB) pathway	Verified	autophagy*	lipase activity	integral to membrane*	no	hom
YCR069W::chr00_16a:downtag	CPR4	1297.6	2077.4	1895.6	1667.6	1169	1465.4	2025.4	2402.6	1894	1543	952.6	1281.4	1653.2	396.6	Peptidyl-prolyl cis-trans isomerase (cyclophilin), catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; has a potential role in the secretory pathway	Verified	biological process unknown	peptidyl-prolyl cis-trans isomerase activity	membrane	no	hom
YCR069W::chr00_16a:uptag	CPR4	1725	2461.6	2270.6	2389.8	2533	1993.4	1991.4	1985.2	1948.2	2148	1578.6	1904.2	2001.2	231	Peptidyl-prolyl cis-trans isomerase (cyclophilin), catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; has a potential role in the secretory pathway	Verified	biological process unknown	peptidyl-prolyl cis-trans isomerase activity	membrane	no	hom
YCR071C::chr00_1:downtag	IMG2	1643	969.8	263.2	49.8	46.6	61.8	514.2	126.4	51.8	48.4	54.2	1531.4	1572.2	38.8	Mitochondrial ribosomal protein of the small subunit	Verified	translation*	structural constituent of ribosome	mitochondrion*	no	hom
YCR071C::chr00_1:uptag	IMG2	228.6	104.8	57.8	43.2	42	55.6	64	53.6	43.8	42.6	50.6	289	494.8	33	Mitochondrial ribosomal protein of the small subunit	Verified	translation*	structural constituent of ribosome	mitochondrion*	no	hom
YCR072C::chr00_16a:downtag	RSA4	2522.4	3506	3208.6	2576.4	1920.6	2447.4	2920.8	3667.8	3122.4	2766.6	1689.2	2980	2675.4	2296.6	WD-repeat protein involved in ribosome biogenesis; may interact with ribosomes; required for maturation and efficient intra-nuclear transport or pre-60S ribosomal subunits, localizes to the nucleolus	Verified	ribosome biogenesis and assembly*	molecular function unknown	nucleolus*	yes	het
YCR072C::chr00_16a:uptag	RSA4	2025.6	2717	2122.2	2316.6	2202.4	1914.2	1981	2162.8	2068.2	2219.8	1419.4	2006	2634.2	1673.2	WD-repeat protein involved in ribosome biogenesis; may interact with ribosomes; required for maturation and efficient intra-nuclear transport or pre-60S ribosomal subunits, localizes to the nucleolus	Verified	ribosome biogenesis and assembly*	molecular function unknown	nucleolus*	yes	het
YCR073C::chr00_16a:downtag	SSK22	2793	4108.6	3520.6	3323.8	2830.4	2767.6	3534.6	3720	3792.2	3101	2788	2917.6	3173.4	34	MAP kinase kinase kinase of the HOG1 mitogen-activated signaling pathway; functionally redundant with, and homologous to, Ssk2p; interacts with and is activated by Ssk1p; phosphorylates Pbs2p	Verified	protein amino acid phosphorylation*	MAP kinase kinase kinase activity	cellular component unknown	no	hom
YCR073C::chr00_16a:uptag	SSK22	1509.2	2118.6	1724.8	1673.4	2070.8	1254.8	1810.4	1855.4	1573.2	1829.6	1178.2	1715.2	2023.2	38.8	MAP kinase kinase kinase of the HOG1 mitogen-activated signaling pathway; functionally redundant with, and homologous to, Ssk2p; interacts with and is activated by Ssk1p; phosphorylates Pbs2p	Verified	protein amino acid phosphorylation*	MAP kinase kinase kinase activity	cellular component unknown	no	hom
YCR073W-A::chr00_1:downtag	SOL2	751.2	1121.6	1262.5	1371.2	760.75	808.4	1127.6	1243.4	1324.8	847.4	781.8	789.2	1084.4	36	Protein with a possible role in tRNA export; shows similarity to 6-phosphogluconolactonase non-catalytic domains but does not exhibit this enzymatic activity; homologous to Sol1p, Sol3p, and Sol4p	Verified	telomere maintenance*	molecular function unknown*	cytoplasm*	no	hom
YCR073W-A::chr00_1:uptag	SOL2	93.8	94.2	106.4	149	166.2	158.4	142.6	199.8	85.4	105.2	108.8	112	156.2	118.4	Protein with a possible role in tRNA export; shows similarity to 6-phosphogluconolactonase non-catalytic domains but does not exhibit this enzymatic activity; homologous to Sol1p, Sol3p, and Sol4p	Verified	telomere maintenance*	molecular function unknown*	cytoplasm*	no	hom
YCR075C::chr00_16a:downtag	ERS1	2136.6	3137.2	2573.2	2093.2	2272.5	1861.2	2636.6	2688.4	2279.2	2583.8	1719.2	2236.4	1939.2	475.2	Protein with similarity to human cystinosin, which is a H(+)-driven transporter involved in L-cystine export from lysosomes and implicated in the disease cystinosis; contains seven transmembrane domains	Verified	L-cystine transport	L-cystine transporter activity	integral to membrane*	no	hom
YCR075C::chr00_16a:uptag	ERS1	698.2	1173.2	898.8	999.8	1422	915	1172.6	989.2	933.4	1253.6	754.4	1003.4	1095	423.8	Protein with similarity to human cystinosin, which is a H(+)-driven transporter involved in L-cystine export from lysosomes and implicated in the disease cystinosis; contains seven transmembrane domains	Verified	L-cystine transport	L-cystine transporter activity	integral to membrane*	no	hom
YCR075W-A::chr00_20:downtag	YCR075W-A	1150.8	1917.6	1488.4	1436.2	618.6	1090	1214.4	890	425.6	222.8	122.6	268.6	255.6	36.8		Uncharacterized	biological process unknown	molecular function unknown	cellular component unknown	no	hom
YCR075W-A::chr00_20:uptag	YCR075W-A	1028.2	1393.4	1083.4	881.8	1039.2	852.4	906	396.75	265.6	281.2	148.2	521.4	38	33.8		Uncharacterized	biological process unknown	molecular function unknown	cellular component unknown	no	hom
YCR076C::chr00_1:downtag	YCR076C	1384	2126.2	2287.6	1902.6	1412.2	1941	2031.6	2342.4	2196.6	1439.75	1120	1604.4	1202.8	175.4		Uncharacterized	biological process unknown	molecular function unknown	cellular component unknown	no	hom
YCR076C::chr00_1:uptag	YCR076C	771.6	1099.4	1082.4	1127.2	1419.2	905.6	997.6	1413	766.4	1122.4	729.6	771	861.4	89.2		Uncharacterized	biological process unknown	molecular function unknown	cellular component unknown	no	hom
YCR077C::chr00_1:downtag	PAT1	811.4	648.4	471.2	96.5	36	133	305.2	185.8	63.4	39.75	44	444.4	388.2	33.6	Topoisomerase II-associated deadenylation-dependent mRNA-decapping factor; also required for faithful chromosome transmission, maintenance of rDNA locus stability, and protection of mRNA 3'-UTRs from trimming; functionally linked to Pab1p	Verified	chromosome segregation*	molecular function unknown	cytosolic small ribosomal subunit (sensu Eukaryota)*	no	hom
YCR077C::chr00_1:uptag	PAT1	57	55.6	60.8	39.8	42.6	53.4	46.4	46.4	37.4	40.2	49.8	58.6	39	35.2	Topoisomerase II-associated deadenylation-dependent mRNA-decapping factor; also required for faithful chromosome transmission, maintenance of rDNA locus stability, and protection of mRNA 3'-UTRs from trimming; functionally linked to Pab1p	Verified	chromosome segregation*	molecular function unknown	cytosolic small ribosomal subunit (sensu Eukaryota)*	no	hom
YCR079W::chr00_1:downtag	PTC6	1771	2417	1731.2	1555	1596	1604.6	1479.2	1148.8	596.2	310	46.2	1302.8	658.8	36.6	Phosphoprotein phosphatase type 2C similar to mammalian PP1Ks; involved in mitophagy; localized to mitochondrial inner membrane space; null mutant is sensitive to rapamycin	Verified	mitochondrion degradation*	protein phosphatase type 2C activity	mitochondrion*	no	hom
YCR079W::chr00_1:uptag	PTC6	526.4	742.4	537.6	294.6	396.2	493	412.6	417	176.6	60.6	46.4	162	43.4	34.4	Phosphoprotein phosphatase type 2C similar to mammalian PP1Ks; involved in mitophagy; localized to mitochondrial inner membrane space; null mutant is sensitive to rapamycin	Verified	mitochondrion degradation*	protein phosphatase type 2C activity	mitochondrion*	no	hom
YCR081W::chr00_1:downtag	SRB8	251.2	327.6	138.6	52	83	63.4	167.2	104.6	82.6	51.8	55.4	322	490.4	108.4	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation; involved in glucose repression	Verified	telomere maintenance*	RNA polymerase II transcription mediator activity	transcription factor complex	no	hom
YCR081W::chr00_1:uptag	SRB8	121.2	85.8	77.4	38.2	70.4	59.6	82.2	55	40.2	39.8	47.6	162	222.2	34.8	Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation; involved in glucose repression	Verified	telomere maintenance*	RNA polymerase II transcription mediator activity	transcription factor complex	no	hom
YCR082W::chr00_1:downtag	AHC2	610.6	1257.2	1025.6	1093.8	823.4	1098.4	1046.8	1076	826.4	735.6	295.8	948.8	1106.6	38.6	Protein of unknown function, putative transcriptional regulator; proposed to be a Ada Histone acetyltransferase complex component; GFP tagged protein is localized to the cytoplasm and nucleus	Uncharacterized	telomere maintenance	molecular function unknown	cytoplasm*	no	hom
YCR082W::chr00_1:uptag	AHC2	443.6	586.8	508.6	612.6	720.2	529.6	378.2	630.6	413.2	552.8	469.6	443	480	34.8	Protein of unknown function, putative transcriptional regulator; proposed to be a Ada Histone acetyltransferase complex component; GFP tagged protein is localized to the cytoplasm and nucleus	Uncharacterized	telomere maintenance	molecular function unknown	cytoplasm*	no	hom
YCR083W::chr00_16a:downtag	TRX3	2182.8	3504.4	2803.2	2638.4	2107.4	2637.6	2665.4	3243.2	3164.6	2163.4	2096.6	2233.2	1958.75	664.6	Mitochondrial thioredoxin, highly conserved oxidoreductase required to maintain the redox homeostasis of the cell, forms the mitochondrial thioredoxin system with Trr2p, redox state is maintained by both Trr2p and Glr1p	Verified	response to oxidative stress	thiol-disulfide exchange intermediate activity	mitochondrion	no	hom
YCR083W::chr00_16a:uptag	TRX3	976.2	1554.8	1305	1247.4	1856.2	1018.2	1348.2	1413.2	1199.6	1641	1135.6	1477.2	1654.4	224	Mitochondrial thioredoxin, highly conserved oxidoreductase required to maintain the redox homeostasis of the cell, forms the mitochondrial thioredoxin system with Trr2p, redox state is maintained by both Trr2p and Glr1p	Verified	response to oxidative stress	thiol-disulfide exchange intermediate activity	mitochondrion	no	hom
YCR084C::chr00_16a:downtag	TUP1	568.8	136.4	113.8	44.6	42.8	53	43.6	43.6	48.2	39.2	47.2	278.8	196.8	36.8	General repressor of transcription, forms complex with Cyc8p, involved in the establishment of repressive chromatin structure through interactions with histones H3 and H4, appears to enhance expression of some genes	Verified	negative regulation of transcription*	general transcriptional repressor activity	nucleus	no	hom
YCR084C::chr00_16a:uptag	TUP1	157.6	63	59.6	43.4	45	58.6	49.4	42.8	47.4	40.6	48.4	380.8	83.4	35.6	General repressor of transcription, forms complex with Cyc8p, involved in the establishment of repressive chromatin structure through interactions with histones H3 and H4, appears to enhance expression of some genes	Verified	negative regulation of transcription*	general transcriptional repressor activity	nucleus	no	hom
YCR085W::chr00_1:downtag	YCR085W	393	427.6	512.2	282.4	237.4	154.2	427	422.8	322.8	175.2	72	234	166	34.2		Dubious				no	hom
YCR085W::chr00_1:uptag	YCR085W	657.2	595.8	714.8	247.6	729.6	293.8	789.4	749.6	471	304.8	135.75	932.2	585	36.8		Dubious				no	hom
YCR086W::chr00_1:downtag	CSM1	185.6	160.8	136	67	76	116.2	204.2	116	97	81.8	75.8	184.8	271	35.8	Nucleolar protein that forms a complex with Lrs4p which binds Mam1p at kinetochores during meiosis I to mediate accurate chromosome segregation, may be involved in premeiotic DNA replication; possible role in telomere maintenance	Verified	telomere maintenance*	molecular function unknown	nucleolus*	no	hom
YCR086W::chr00_1:uptag	CSM1	476.8	343	267.2	126.2	123.8	156.8	336	325	206	172	79.4	238	203.6	34.8	Nucleolar protein that forms a complex with Lrs4p which binds Mam1p at kinetochores during meiosis I to mediate accurate chromosome segregation, may be involved in premeiotic DNA replication; possible role in telomere maintenance	Verified	telomere maintenance*	molecular function unknown	nucleolus*	no	hom
YCR087C-A::chr00_1:downtag	LUG1	1176.2	1199.6	903.2	1196.2	437.2	392.4	1043.4	624.2	261.6	39.6	50.6	618.4	318.2	37	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleolus; YCR087C-A is not an essential gene	Uncharacterized	biological process unknown	molecular function unknown	nucleolus	no	hom
YCR087C-A::chr00_1:uptag	LUG1	621.8	707.2	559.6	271.8	240.2	207.2	519.5	248.4	117	44.6	46.2	281.6	45.8	32.8	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the nucleolus; YCR087C-A is not an essential gene	Uncharacterized	biological process unknown	molecular function unknown	nucleolus	no	hom
YCR087W::chr00_1:downtag	YCR087W	265.8	208.4	220.8	122.4	123.4	159.4	193.4	217.2	110	49.6	56.6	223.2	273.8	35		Dubious				no	hom
YCR087W::chr00_1:uptag	YCR087W	660.6	709	468	698	791.8	176.4	416.25	402.8	187.2	96.2	53.4	90.2	219.6	34.8		Dubious				no	hom
YCR088W::chr00_16a:downtag	ABP1	2587.4	4022.6	3699.2	3087.6	2456.2	2895.6	3433.4	3742	3756.6	3037.4	2692.2	3759	3949.6	794.2	Actin-binding protein of the cortical actin cytoskeleton, important for activation of the Arp2/3 complex that plays a key role actin in cytoskeleton organization	Verified	establishment of cell polarity (sensu Fungi)*	protein binding	cytoplasm*	no	hom
YCR088W::chr00_16a:uptag	ABP1	1908.8	2630	2223.6	1552	2290.8	1784.4	1889.2	1929.8	1849.6	1988.6	1383.4	2100.6	2414	521.2	Actin-binding protein of the cortical actin cytoskeleton, important for activation of the Arp2/3 complex that plays a key role actin in cytoskeleton organization	Verified	establishment of cell polarity (sensu Fungi)*	protein binding	cytoplasm*	no	hom
YCR089W::chr00_16a:downtag	FIG2	4007	5091.8	4440.4	4253.2	4198.75	4214.2	4305	4466.6	4651.4	4437.2	3774.8	3897.6	4337.6	1005.6	Cell wall adhesin, expressed specifically during mating; may be involved in maintenance of cell wall integrity during mating	Verified	cellular morphogenesis during conjugation with cellular fusion*	molecular function unknown	cell wall (sensu Fungi)	no	hom
YCR089W::chr00_16a:uptag	FIG2	179.6	229.2	216	237.8	246.8	243.8	252.4	221.4	217.6	207.4	144.2	168.2	227.2	51.2	Cell wall adhesin, expressed specifically during mating; may be involved in maintenance of cell wall integrity during mating	Verified	cellular morphogenesis during conjugation with cellular fusion*	molecular function unknown	cell wall (sensu Fungi)	no	hom
YCR090C::chr00_2:downtag	YCR090C	794.4	1229.4	1160.6	1116.4	674.4	1103.6	1088.8	1241.4	1237.2	1269.4	724.6	816.2	1006	34.6		Uncharacterized	biological process unknown	molecular function unknown	cytoplasm*	no	hom
YCR090C::chr00_2:uptag	YCR090C	1631.2	2324.2	1983.2	1745.2	2485.4	1755.2	1792	2534.4	1976	2200.6	1568.4	1627.2	2013.6	34.4		Uncharacterized	biological process unknown	molecular function unknown	cytoplasm*	no	hom
YCR091W::chr00_2:downtag	KIN82	35.8	38.8	50.2	38.8	36	50.6	40.8	35.6	36.8	35.2	50.4	35	39	35.6	Putative serine/threonine protein kinase, most similar to cyclic nucleotide-dependent protein kinase subfamily and the protein kinase C subfamily	Verified	protein amino acid phosphorylation*	protein kinase activity	cellular component unknown	no	hom
YCR091W::chr00_2:uptag	KIN82	718.4	958.2	768.2	893	960.4	933.2	561.2	881	751.6	909	406.2	883.8	532.8	186.8	Putative serine/threonine protein kinase, most similar to cyclic nucleotide-dependent protein kinase subfamily and the protein kinase C subfamily	Verified	protein amino acid phosphorylation*	protein kinase activity	cellular component unknown	no	hom
YCR092C::chr00_2:downtag	MSH3	227.8	316.6	331.4	287.6	205.2	365	396.4	387.2	365.2	258.4	157.4	254.4	301.8	38.2	Mismatch repair protein, forms dimers with Msh2p that mediate repair of insertion or deletion mutations and removal of nonhomologous DNA ends, contains a PCNA (Pol30p) binding motif required for genome stability	Verified	mismatch repair*	Y-form DNA binding*	cytoplasm*	no	hom
YCR092C::chr00_2:uptag	MSH3	1226.4	1817.6	1531	1301.8	1645.4	1241.2	1600	1371.4	1465.2	1586.2	1059.4	1362.2	1296.6	38.6	Mismatch repair protein, forms dimers with Msh2p that mediate repair of insertion or deletion mutations and removal of nonhomologous DNA ends, contains a PCNA (Pol30p) binding motif required for genome stability	Verified	mismatch repair*	Y-form DNA binding*	cytoplasm*	no	hom
YCR093W::chr00_2:downtag	CDC39	2657	3734.2	3539.6	3447.2	2530.6	3362	3747	3971	3959.2	3066.4	2058.2	2835.8	2128.8	30.6	Component of the CCR4-NOT complex, which has multiple roles in regulating mRNA levels including regulation of transcription and destabilizing mRNAs by deadenylation; basal transcription factor	Verified	regulation of transcription from RNA polymerase II promoter*	3'-5'-exoribonuclease activity	cytoplasm*	yes	het
YCR093W::chr00_2:uptag	CDC39	176.2	292.6	298.2	253	297.2	254.4	287.8	352	280	403.6	173.4	165.6	124.6	42.2	Component of the CCR4-NOT complex, which has multiple roles in regulating mRNA levels including regulation of transcription and destabilizing mRNAs by deadenylation; basal transcription factor	Verified	regulation of transcription from RNA polymerase II promoter*	3'-5'-exoribonuclease activity	cytoplasm*	yes	het
YCR094W::chr00_2:downtag	CDC50	1282.4	1502.4	682.6	514.6	201	284.8	1059	708.8	877.6	489.4	191.6	1038	227.6	34.8	Endosomal protein that regulates cell polarity; similar to Ynr048wp and Lem3p	Verified	endocytosis*	phospholipid-translocating ATPase activity	late endosome*	no	hom
YCR094W::chr00_2:uptag	CDC50	1752.2	1850.8	1125.2	736.6	891.8	264.4	1586	1266	869.2	754.4	428.4	1455.4	1142.4	481.2	Endosomal protein that regulates cell polarity; similar to Ynr048wp and Lem3p	Verified	endocytosis*	phospholipid-translocating ATPase activity	late endosome*	no	hom
YCR095C::chr00_14:downtag	OCA4	2051	2788.4	2368.8	1555.4	1402	1785.4	2576.4	2187.4	1321.2	1064.4	575.8	1905.4	1747	36.4	Cytoplasmic protein required for replication of Brome mosaic virus in S. cerevisiae, which is a model system for studying replication of positive-strand RNA viruses in their natural hosts	Uncharacterized	biological process unknown	molecular function unknown	cytoplasm	no	hom
YCR095C::chr00_14:uptag	OCA4	1062	1364.8	1104.5	1122	1264.6	640.2	1175.6	972.6	637.2	419	292.2	1001.2	678.2	34.6	Cytoplasmic protein required for replication of Brome mosaic virus in S. cerevisiae, which is a model system for studying replication of positive-strand RNA viruses in their natural hosts	Uncharacterized	biological process unknown	molecular function unknown	cytoplasm	no	hom
YCR095W-A::chr00_23:downtag	YCR095W-A	1741	2735.6	2249.8	1872.6	1733.2	1836.4	2149.6	2319.6	2179.4	1893	1659.2	1779.6	1933.6	242.2		Uncharacterized	biological process unknown	molecular function unknown	cellular component unknown	no	hom
YCR095W-A::chr00_23:uptag	YCR095W-A	383.4	657.8	661.6	693.2	989	531.2	616.6	608.8	510.2	786	462.8	583.6	578.8	64		Uncharacterized	biological process unknown	molecular function unknown	cellular component unknown	no	hom
YCR098C::chr00_2:downtag	GIT1	60.6	73.8	82.2	44.6	52.2	85.4	67	64.4	66.6	50.4	48	51.2	95.2	50	Plasma membrane permease, mediates uptake of glycerophosphoinositol and glycerophosphocholine as sources of the nutrients inositol and phosphate; expression and transport rate are regulated by phosphate and inositol availability	Verified	glycerophosphodiester transport	glycerophosphodiester transporter activity	plasma membrane	no	hom
YCR098C::chr00_2:uptag	GIT1	715.6	822	484	450.4	103	208	554.8	545.2	341.2	213.2	53.6	570.8	1055.2	42.2	Plasma membrane permease, mediates uptake of glycerophosphoinositol and glycerophosphocholine as sources of the nutrients inositol and phosphate; expression and transport rate are regulated by phosphate and inositol availability	Verified	glycerophosphodiester transport	glycerophosphodiester transporter activity	plasma membrane	no	hom
YCR099C::chr00_2:downtag	YCR099C	859	1723	1592	1113.4	817.4	966.2	1380.25	1589	1408.8	1405.2	896	1130.8	1571.8	34.4		Uncharacterized	biological process unknown	molecular function unknown	cellular component unknown	no	hom
YCR099C::chr00_2:uptag	YCR099C	510.8	924.4	759.6	878.4	897	528.8	551.8	558	647.4	662.8	592.8	588.8	523	53.2		Uncharacterized	biological process unknown	molecular function unknown	cellular component unknown	no	hom
YCR100C::chr00_2:downtag	YCR100C	534.25	947.4	802.4	645.8	637.8	727.4	897.8	688.6	803.8	925.2	707.2	786.2	800.2	40.4		Uncharacterized	biological process unknown	molecular function unknown	cellular component unknown	no	hom
YCR100C::chr00_2:uptag	YCR100C	497.2	546.8	481.6	552.6	585	455.2	487.2	655	497.2	720.8	455.8	503.4	679.6	92.8		Uncharacterized	biological process unknown	molecular function unknown	cellular component unknown	no	hom
YCR101C::chr00_2:downtag	YCR101C	257.8	447.4	398.2	156.6	280.8	299.6	379.8	474	347.6	418.8	265.2	455.8	182.4	283		Uncharacterized	biological process unknown	molecular function unknown	membrane fraction	no	hom
YCR101C::chr00_2:uptag	YCR101C	481.4	803.2	608.2	835.4	1072	628.8	644.4	659.6	712.6	973	511.6	636	729.4	163.8		Uncharacterized	biological process unknown	molecular function unknown	membrane fraction	no	hom
YCR102C::chr00_2:downtag	YCR102C	433.5	775	740	768.2	538	430.2	653.2	791.6	964.8	787.6	421	772.6	792.8	40.6		Uncharacterized	response to copper ion	molecular function unknown	cellular component unknown	no	hom
YCR102C::chr00_2:uptag	YCR102C	516.6	724	632	256.8	698.6	511.4	575	660	647.8	611.2	461.2	384.8	406.2	36.2		Uncharacterized	response to copper ion	molecular function unknown	cellular component unknown	no	hom
YCR102W-A::chr00_14:downtag	YCR102W-A	1945.2	2736.4	2560.6	2678.2	2410.2	2533.4	2273	2503.8	2558.2	2478.6	2194	2148.2	2697.4	1442.2		Dubious				no	hom
YCR102W-A::chr00_14:uptag	YCR102W-A	2853.4	3576.8	3015.4	2832	3300.2	2785.8	2992.8	2966.2	2884.4	2858.6	2321.6	2597.4	3350.4	298.2		Dubious				no	hom
YCR105W::chr00_2:downtag	ADH7	1269.6	1613.2	1416.6	1282.8	1109.8	1358.2	1386.6	1387.2	1640.8	1316.6	1323.8	886.6	1237.4	185	NADPH-dependent cinnamyl alcohol dehydrogenase family member with broad substrate specificity; may be involved in fusel alcohol synthesis	Verified	alcohol metabolic process	alcohol dehydrogenase (NADP+) activity	soluble fraction	no	hom
YCR105W::chr00_2:uptag	ADH7	1893	2199.4	1699.4	1640.2	1873	1827.4	1850.8	1645.6	1704.8	1679	1282.2	1564.8	1900.2	36	NADPH-dependent cinnamyl alcohol dehydrogenase family member with broad substrate specificity; may be involved in fusel alcohol synthesis	Verified	alcohol metabolic process	alcohol dehydrogenase (NADP+) activity	soluble fraction	no	hom
YCR106W::chr00_2:downtag	RDS1	2080.2	3192.2	2573.2	2452	1937.2	2660.8	2464.4	2784.6	2778.4	2387.8	2290.8	2144.4	1538.4	560	Zinc cluster protein involved in conferring resistance to cycloheximide	Verified	response to xenobiotic stimulus	DNA binding*	nucleus	no	hom
YCR106W::chr00_2:uptag	RDS1	2135.8	3050.8	2579.2	2641	2797	2376	2456.8	2452.6	2272.8	2759.8	2157.8	2474.2	2661.8	818.2	Zinc cluster protein involved in conferring resistance to cycloheximide	Verified	response to xenobiotic stimulus	DNA binding*	nucleus	no	hom
YCR107W::chr00_17a:downtag	AAD3	110.6	160.8	170	173	139.6	209.2	170	182.8	175	119.6	112.4	139.8	238.75	55	Putative aryl-alcohol dehydrogenase with similarity to P. chrysosporium aryl-alcohol dehydrogenase; mutational analysis has not yet revealed a physiological role	Verified	aldehyde metabolic process	aryl-alcohol dehydrogenase activity	cellular component unknown	no	hom
YCR107W::chr00_17a:uptag	AAD3	200.6	342	359.8	240.75	292.4	242.8	279.4	231.6	212.6	359.2	220.6	288	240.8	43.6	Putative aryl-alcohol dehydrogenase with similarity to P. chrysosporium aryl-alcohol dehydrogenase; mutational analysis has not yet revealed a physiological role	Verified	aldehyde metabolic process	aryl-alcohol dehydrogenase activity	cellular component unknown	no	hom
YDL001W::chr4_1:downtag	RMD1	57.4	68.2	86.8	67	51.4	73.2	69.4	59.6	61	59.6	54.2	65.6	102	60.2	Cytoplasmic protein required for sporulation	Verified	biological process unknown	molecular function unknown	cytoplasm	no	hom
YDL001W::chr4_1:uptag	RMD1	903.6	1153	937	1322.2	1193.4	934.6	1015.8	841.2	568.2	742.6	404.4	1337	2211.4	35.8	Cytoplasmic protein required for sporulation	Verified	biological process unknown	molecular function unknown	cytoplasm	no	hom
YDL002C::chr4_1:downtag	NHP10	1078.2	1160.6	1076.4	184.6	1124	1182.8	402.2	602.6	209	403.4	291	870	1220.4	34.6	Protein related to mammalian high mobility group proteins; likely component of the INO80 complex, which is an ATP-dependent chromatin-remodeling complex	Verified	chromatin remodeling	molecular function unknown	nucleus*	no	hom
YDL002C::chr4_1:uptag	NHP10	97.4	114	109.6	66.6	157.2	69.8	66.4	56.2	52.8	63.4	62.8	84.4	187.6	34.8	Protein related to mammalian high mobility group proteins; likely component of the INO80 complex, which is an ATP-dependent chromatin-remodeling complex	Verified	chromatin remodeling	molecular function unknown	nucleus*	no	hom
YDL003W::chr4_1:downtag	MCD1	1146.8	1833	1709.4	1406	1407	1601.6	1547.4	1882.6	1789.4	1467.4	1020.2	1529.2	1990	1422.2	Essential protein required for sister chromatid cohesion in mitosis and meiosis; subunit of the cohesin complex; expression is cell cycle regulated and peaks in S phase	Verified	mitotic sister chromatid cohesion*	molecular function unknown	nucleus*	yes	het
YDL003W::chr4_1:uptag	MCD1	49.2	47.6	58.8	61.6	62.2	62	55.8	51.6667	49.6	67.2	51.6	76	66.4	44.6	Essential protein required for sister chromatid cohesion in mitosis and meiosis; subunit of the cohesin complex; expression is cell cycle regulated and peaks in S phase	Verified	mitotic sister chromatid cohesion*	molecular function unknown	nucleus*	yes	het
YDL004W::chr4_1:downtag	ATP16	2548.6	3705.8	2891.6	2185.2	2273.8	2065.4	3055.2	3061.6	3066.4	2626.6	1072.4	3409	3497.4	797.4	Delta subunit of the central stalk of mitochondrial F1F0 ATP synthase, which is a large, evolutionarily conserved enzyme complex required for ATP synthesis	Verified	ATP synthesis coupled proton transport	hydrogen ion transporting ATP synthase activity, rotational mechanism	mitochondrion*	yes	het
YDL004W::chr4_1:uptag	ATP16	346.2	443.8	317.4	295.6	446	304.75	449.6	350.25	305.8	312	155.6	431	401	225.4	Delta subunit of the central stalk of mitochondrial F1F0 ATP synthase, which is a large, evolutionarily conserved enzyme complex required for ATP synthesis	Verified	ATP synthesis coupled proton transport	hydrogen ion transporting ATP synthase activity, rotational mechanism	mitochondrion*	yes	het
YDL006W::chr4_1:downtag	PTC1	113.4	82	72.6	46.8	50.4	57.6	100.6	47.8	44.2	45.2	50.2	79.6	41	36.2	Type 2C protein phosphatase (PP2C); inactivates the osmosensing MAPK cascade by dephosphorylating Hog1p; mutation delays mitochondrial inheritance; deletion reveals defects in precursor tRNA splicing, sporulation and cell separation	Verified	telomere maintenance*	protein phosphatase type 2C activity	cytoplasm*	no	hom
