ORF	Gene	Average Ratio	Gene Description
YLR357W	RSC2	5.8	Member of RSC complex., chromatin modeling, molecular_function unknown, nucleosome remodeling complex
YDR320C	SWA2	5.8	Auxilin-like protein,molecular_function unknown,
YFL025C	BST1	5.8	negative regulator of COPII vesicle formation
YKL055C	OAR1	5.7	3-oxoacyl-[acyl-carrier-protein] reductase, respiration,
YDR296W	MHR1	5.7	Involved in mitochondrial homologous DNA recombination,molecular_function unknown,
YFR036W	CDC26	5.7	cell division control protein, ubiquitin-dependent protein degradation*, ubiquitin--protein ligase*, anaphase-promoting complex
YBR266C		5.7	probable membrane protein, biological_process unknown, molecular_function unknown,
YDR322W	MRPL35	5.7	Mitochondrial ribosomal protein MRPL35 (YmL35), protein biosynthesis, structural protein of ribosome, mitochondrial large ribosomal-subunit
YNL225C	CNM67	5.7	Spindle pole body protein involved in nuclear migration, microtubule nucleation, structural protein of cytoskeleton, spindle pole body
YGL246C	RAI1	5.7	biological_process unknown, molecular_function unknown,
YGR215W	RSM27	5.6	protein of the small subunit of the mitochondrial ribosome
YGL143C	MRF1	5.6	Mitochondrial polypeptide chain release factor, protein biosynthesis*, translation release factor, mitochondrion
YHR026W	PPA1	5.6	vacuolar ATPase V0 domain subunit c'', vacuolar acidification, hydrogen-transporting two-sector ATPase, hydrogen-transporting ATPase V0 domain
YOR290C	SNF2	5.6	transcriptional regulator, chromatin modeling, non-specific RNA polymerase II transcription factor, nucleosome remodeling complex
YLR192C	HCR1	5.6	High Copy suppressor of RPG1, biological_process unknown, molecular_function unknown,
YDR522C	SPS2	5.6	involved in meiosis, meiosis, molecular_function unknown,
YGR101W		5.6	biological_process unknown, molecular_function unknown,
YNL284C	MRPL10	5.6	Mitochondrial ribosomal protein MRPL10 (YmL10), protein biosynthesis, structural protein of ribosome, mitochondrial large ribosomal-subunit
YPL125W	KAP120	5.6	karyopherin
YJL115W	ASF1	5.6	involved in silencing, transcription,
YKL119C	VPH2	5.5	25.2 kDa protein involved in assembly of vacuolar H(+) ATPase, vacuolar acidification*, molecular_function unknown, endoplasmic reticulum membrane
YHR147C	MRPL6	5.5	Mitochondrial ribosomal protein MRPL6 (YmL6), protein biosynthesis, structural protein of ribosome, mitochondrial large ribosomal-subunit
YLR396C	VPS33	5.5	involved in vacuolar protein targeting
YLR049C		5.5	biological_process unknown, molecular_function unknown,
YLR056W	ERG3	5.5	C-5 sterol desaturase, ergosterol biosynthesis, C-5 sterol desaturase, endoplasmic reticulum
YBR194W		5.5	biological_process unknown, molecular_function unknown, cytoplasm
YDL056W	MBP1	5.5	transcription factor, cell cycle control*, transcription factor, nucleus
YER083C		5.5	biological_process unknown, molecular_function unknown,
YML036W		5.5	biological_process unknown, molecular_function unknown,
YEL046C	GLY1	5.5	Threonine Aldolase,threonine aldolase,
YKL170W	MRPL38	5.4	mitochondrial ribosomal protein L14, protein biosynthesis, structural protein of ribosome, mitochondrial large ribosomal-subunit
YNL055C	POR1	5.4	Outer mitochondrial membrane porin (voltage-dependent anion channel, or VDAC), transport,
YJL006C	CTK2	5.4	cyclin-like protein, protein phosphorylation*, cyclin,
YBR173C	UMP1	5.4	20S proteasome maturation factor
YNL185C	MRPL19	5.4	mitochondrial ribosomal protein of the large subunit, protein biosynthesis, structural protein of ribosome, mitochondrial large ribosomal-subunit
YMR097C		5.4	biological_process unknown, molecular_function unknown,
YMR193W	MRPL24	5.4	Mitochondrial ribosomal protein MRPL24 (YmL24), protein biosynthesis, structural protein of ribosome, mitochondrial large ribosomal-subunit
YMR282C	AEP2	5.4	basic, hydrophilic 67.5 kDa protein, protein biosynthesis, molecular_function unknown, mitochondrion
YMR066W	SOV1	5.4	(putative) involved in respiration,molecular_function unknown,
YGL129C	RSM23	5.4	protein of the small subunit of the mitochondrial ribosome
YOR153W	PDR5	5.4	multidrug resistance transporter,transporter,
YDR433W	KRE22	5.4	biological_process unknown, molecular_function unknown,
YLR046C		5.4	biological_process unknown, molecular_function unknown,
YBR111C	YSA1	5.3	Homolog to serendipity protein (D. melanogaster), biological_process unknown, molecular_function unknown,
YDL081C	RPP1A	5.3	Acidic ribosomal protein P1A (YP1alpha) (A1), protein biosynthesis*, structural protein of ribosome, cytosolic large ribosomal (60S)-subunit
YMR269W		5.3	biological_process unknown, molecular_function unknown,
YDR175C	RSM24	5.3	protein of the small subunit of the mitochondrial ribosome
YDR519W	FKB2	5.3	FKBP (FK506 binding protein) 13; peptidylprolyl cis-trans isomerase activity, biological_process unknown, peptidylprolyl isomerase, endoplasmic reticulum membrane
YLR270W		5.3	biological_process unknown, molecular_function unknown,
YOR309C		5.3	biological_process unknown, molecular_function unknown,
YOR295W		5.3	biological_process unknown, molecular_function unknown,
YDR525W		5.3	biological_process unknown, molecular_function unknown,
YDR529C	QCR7	5.3	ubiquinol-cytochrome c oxidoreductase subunit 7 (14 kDa),ubiquinol-cytochrome-c reductase,
YOR332W	VMA4	5.2	vacuolar ATPase V1 domain subunit E (27 kDa), vacuolar acidification, hydrogen-transporting two-sector ATPase, hydrogen-transporting ATPase V1 domain
YPL040C	ISM1	5.2	nuclear encoded mitochondrial isoleucyl-tRNA synthetase,isoleucine--tRNA ligase,
YCL058C	FYV5	5.2	biological_process unknown, molecular_function unknown, cellular_component unknown
YCR024C		5.2	Asn-tRNA synthetase, protein biosynthesis, asparagine--tRNA ligase*, mitochondrion
YAL035W	FUN12	5.2	97 kDa protein, biological_process unknown, molecular_function unknown,
YPR163C	TIF3	5.2	Translation initiation factor eIF-4B, protein synthesis initiation, translation initiation factor, ribosome
YGL218W		5.2	biological_process unknown, molecular_function unknown,
YLR053C		5.2	biological_process unknown, molecular_function unknown,
YGL223C		5.2	biological_process unknown, molecular_function unknown,
YDR194C	MSS116	5.2	Mitochondrial DEAD box RNA helicase, RNA splicing, RNA helicase, mitochondrial matrix
YHL031C	GOS1	5.1	Golgi SNARE protein, non-selective vesicle fusion*, v-SNARE, inter-Golgi transport vesicle
YCR028C-A	RIM1	5.1	Single-stranded zinc finger DNA-binding protein
YER056C-A	RPL34A	5.1	Ribosomal protein L34A, protein biosynthesis, structural protein of ribosome, cytosolic large ribosomal (60S)-subunit
YML024W	RPS17A	5.1	Ribosomal protein S17A (rp51A), protein biosynthesis*, structural protein of ribosome, cytosolic small ribosomal (40S)-subunit
YJL120W		5.0	biological_process unknown, molecular_function unknown,
YNL248C	RPA49	5.0	49-kDa alpha subunit of RNA polymerase A, transcription from Pol I promoter, DNA-directed RNA polymerase I, DNA-directed RNA polymerase I
YCR003W	MRPL32	5.0	Mitochondrial ribosomal protein MRPL32 (YmL32), protein biosynthesis, structural protein of ribosome, mitochondrial large ribosomal-subunit
YNL028W		5.0	biological_process unknown, molecular_function unknown,
YPL069C	BTS1	5.0	geranylgeranyl diphosphate synthase
YBR251W	MRPS5	5.0	Probable mitochondrial ribosomal protein S5, protein biosynthesis, structural protein of ribosome, mitochondrial ribosome
YHR183W	GND1	5.0	Phosphogluconate Dehydrogenase (Decarboxylating),phosphogluconate dehydrogenase (decarboxylating),
YMR116C	ASC1	4.9	G-beta like protein
YMR143W	RPS16A	4.9	Ribosomal protein S16A (rp61R), protein biosynthesis, structural protein of ribosome, cytosolic small ribosomal (40S)-subunit
YDL068W		4.9	biological_process unknown, molecular_function unknown,
YKL113C	RAD27	4.9	42 kDa 5' to 3' exonuclease required for Okazaki fragment processing, DNA repair,
YNL073W	MSK1	4.9	mitochondrial lysine-tRNA synthetase,lysine--tRNA ligase,
YDL202W	MRPL11	4.9	Mitochondrial ribosomal protein MRPL11 (YmL11), protein biosynthesis, structural protein of ribosome, mitochondrial large ribosomal-subunit
YLR068W	FYV7	4.9	biological_process unknown, molecular_function unknown, cellular_component unknown
YDR405W	MRP20	4.9	263-amino acid mitochondrial ribosomal large subunit protein; similar to L23 family of ribosomal proteins, protein biosynthesis, structural protein of ribosome, mitochondrial large ribosomal-subunit
YGR016W		4.9	biological_process unknown, molecular_function unknown,
YOR209C	NPT1	4.8	nicotinate phosphoribosyl transferase (putative),nicotinate phosphoribosyltransferase,
YER095W	RAD51	4.8	RecA homolog; Rad51p colocalizes to ~ 65 spots with Dmc1p prior to synapsis (independently of ZIP1 and DMC1), and interacts with Rad52p and Rad55p; human Rad51p homolog interacts with Brca2 protein which has been implicated in causing breast cancer,recombinase,
YOR383C	FIT3	4.8	biological_process unknown, molecular_function unknown,
YDL160C	DHH1	4.8	(putative) DEAD box RNA helicase, transcription, RNA helicase,
YEL033W		4.8	biological_process unknown, molecular_function unknown,
YGR240C	PFK1	4.8	phosphofructokinase alpha subunit, glycolysis, 6-phosphofructokinase, 6-phosphofructokinase
YPR099C		4.8	biological_process unknown, molecular_function unknown,
YLR373C	VID22	4.8	vacuole import and degradation,molecular_function unknown,
YCR071C	IMG2	4.8	similar to Drosophila gonadal protein Z600; involved in mitochondrial DNA maitenance,molecular_function unknown,
YHR191C	CTF8	4.8	(putative) kinetochore protein
YNL037C	IDH1	4.7	alpha-4-beta-4 subunit of mitochondrial isocitrate dehydrogenase 1, tricarboxylic acid cycle*, isocitrate dehydrogenase (NAD+), mitochondrial matrix
YIL049W	DFG10	4.7	involved in filamentous growth,molecular_function unknown,
YLR042C		4.7	biological_process unknown, molecular_function unknown,
YNL302C	RPS19B	4.7	Ribosomal protein S19B (rp55B) (S16aB) (YS16B), protein biosynthesis, structural protein of ribosome, cytosolic small ribosomal (40S)-subunit
YDR116C		4.7	biological_process unknown, molecular_function unknown,
YLR399C	BDF1	4.7	Bdf1p contains two bromodomains, localizes to the nucleus and to chomosomes in spread meiotic nuclei but is excluded from the nucleolus, sporulation (sensu Saccharomyces), transcription factor, nucleus
YHR041C	SRB2	4.7	RNA polymerase II holoenzyme mediator subunit, transcription from Pol II promoter, RNA polymerase II transcription mediator, mediator complex
YML110C	COQ5	4.7	Putative mitochondrial C-methyltransferase, ubiquinone metabolism,mitochondrion
YOR073W		4.7	biological_process unknown, molecular_function unknown,
YPL173W	MRPL40	4.7	Mitochondrial ribosomal protein MRPL40 (YmL40), protein biosynthesis, structural protein of ribosome, mitochondrial large ribosomal-subunit
YJR144W	MGM101	4.7	(putative) nucleic acid interactor, mitochondrial genome maintenance,
YLR295C	ATP14	4.7	ATP synthase subunit h, ATP synthesis coupled proton transport, hydrogen-transporting two-sector ATPase, hydrogen-transporting ATP synthase, F0 sector
YNL184C		4.7	biological_process unknown, molecular_function unknown,
YOR196C	LIP5	4.7	lipoic acid synthase, fatty acid metabolism,
YDR079W	PET100	4.7	cytochrome c oxidase-specific assembly factor, cytochrome c oxidase biogenesis, molecular_function unknown, cellular_component unknown
YHR008C	SOD2	4.6	Manganese-containing superoxide dismutase,superoxide dismutase,
YBR283C	SSH1	4.6	Probable SEC61 protein homolog, co-translational membrane targeting, protein transporter, translocon
YNL199C	GCR2	4.6	Transcription factor, glycolysis,
YBR268W	MRPL37	4.6	Probable mitochondrial protein L37, protein biosynthesis, structural protein of ribosome, mitochondrial large ribosomal-subunit
YDR509W		4.6	biological_process unknown, molecular_function unknown,
YJR034W	PET191	4.6	involved in cytochrome c oxidase assembly, cytochrome c oxidase biogenesis, molecular_function unknown, mitochondrial inner membrane
YDR363W-A	SEM1	4.6	unknown function, similar to S. pombe Dss1,molecular_function unknown,
YHR081W		4.5	biological_process unknown, molecular_function unknown,
YOL143C	RIB4	4.5	6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase)
YNL220W	ADE12	4.5	adenylosuccinate synthetase,adenylosuccinate synthase,
YLR047C		4.5	biological_process unknown, molecular_function unknown,
YIL122W		4.5	biological_process unknown, molecular_function unknown,
YMR072W	ABF2	4.5	HMG-1 homolog, mitochondrial, mitochondrial genome maintenance,
YIL034C	CAP2	4.5	beta subunit of capping protein, cell wall organization and biogenesis*, F-actin capping, actin cortical patch (sensu Saccharomyces)*
YLR342W	FKS1	4.5	1,3-beta-D-glucan synthase, cell wall organization and biogenesis*, 1,3-beta-glucan synthase, actin cap (sensu Saccharomyces)*
YCL016C		4.5	biological_process unknown, molecular_function unknown,
YLR312W-A	MRPL15	4.5	Mitochondrial ribosomal protein MRPL15 (YmL15), protein biosynthesis, structural protein of ribosome, mitochondrial large ribosomal-subunit
YGR257C		4.5	biological_process unknown, molecular_function unknown,
YMR190C	SGS1	4.5	has DNA helicase signature motifs
YNL107W	YAF9	4.5	Yeast homolog of the human leukemogenic protein AF9; member of a large protein complex, biological_process unknown, molecular_function unknown,
YDR065W		4.4	biological_process unknown, molecular_function unknown,
YPL031C	PHO85	4.4	cyclin-dependent protein kinase, protein phosphorylation*, cyclin-dependent protein kinase*,
YNL120C		4.4	biological_process unknown, molecular_function unknown,
YDR337W	MRPS28	4.4	Mitochondrial ribosomal protein MRPS28 (E. coli S15), protein biosynthesis*, structural protein of ribosome*, mitochondrial small ribosomal-subunit
YPR191W	QCR2	4.4	40 kDa ubiquinol cytochrome-c reductase core protein 2,ubiquinol-cytochrome-c reductase,
YER117W	RPL23B	4.4	Ribosomal protein L23B (L17aB) (YL32), protein biosynthesis, structural protein of ribosome, cytosolic large ribosomal (60S)-subunit
YOR078W	BUD21	4.4	BUD site selection, biological_process unknown, molecular_function unknown,
YJL175W		4.4	biological_process unknown, molecular_function unknown,
YEL003W	GIM4	4.4	bovine prefoldin subunit 2 homolog (putative), protein folding,
YMR125W	STO1	4.4	transcriptional activator of glycolytic genes
YGL105W	ARC1	4.4	G4 nucleic acid binding protein, involved in tRNA aminoacylation
YGR165W		4.4	biological_process unknown, molecular_function unknown,
YLR182W	SWI6	4.4	transcription factor, cell cycle, transcription factor,
YNR036C		4.4	biological_process unknown, molecular_function unknown,
YKR085C	MRPL20	4.4	22.3 kDa mitochondrial ribosomal large subunit protein YmL20; homologous to L17 of E. coli, protein biosynthesis*, structural protein of ribosome, mitochondrial large ribosomal-subunit
YML061C	PIF1	4.4	5' to 3' DNA helicase, DNA recombination*, DNA helicase, mitochondrion
YNL177C		4.3	biological_process unknown, molecular_function unknown,
YPR043W	RPL43A	4.3	Ribosomal protein L43A, protein biosynthesis, structural protein of ribosome, cytosolic large ribosomal (60S)-subunit
YJL209W	CBP1	4.3	involved in control of mRNA stablility,molecular_function unknown,
YDR268W	MSW1	4.3	mitochondrial tryptophanyl-tRNA synthetase,tryptophan--tRNA ligase,
YNL309W	STB1	4.3	Interacts with the putative transcription factor Sin3p, biological_process unknown,
YOL096C	COQ3	4.3	3,4-dihydroxy-5-hexaprenylbenzoate methyltransferase, ubiquinone metabolism, hexaprenyldihydroxybenzoate methyltransferase,
YDL047W	SIT4	4.3	type 2A related protein phosphatase, G1/S transition of mitotic cell cycle, protein serine/threonine phosphatase, cytoplasm
YER017C	AFG3	4.3	ATP-dependent metalloprotease, protein complex assembly*, adenosinetriphosphatase*, mitochondrial inner membrane
YDL075W	RPL31A	4.3	Ribosomal protein L31A (L34A) (YL28), protein biosynthesis, structural protein of ribosome, cytosolic large ribosomal (60S)-subunit
YLR260W	LCB5	4.2	sphingoid long chain base (LCB) kinase, sphingolipid metabolism,
YGL084C	GUP1	4.2	putative glycerol transporter
YGL219C		4.2	biological_process unknown, molecular_function unknown, cellular_component unknown
YCR009C	RVS161	4.2	Reduced viability on starvation protein RVS161, endocytosis*, cytoskeletal protein binding protein, actin cortical patch (sensu Saccharomyces)
YNL029C	KTR5	4.2	Putative mannosyltransferase, cell wall organization and biogenesis*, mannosyltransferase, Golgi apparatus
YDR025W	RPS11A	4.2	Ribosomal protein S11A (S18A) (rp41A) (YS12), protein biosynthesis*, structural protein of ribosome, cytosolic small ribosomal (40S)-subunit
YOL051W	GAL11	4.2	Component of the RNA polymerase II holoenzyme complex, positive and negative transcriptional regulator of genes involved in mating-type specialization, transcription from Pol II promoter, RNA polymerase II transcription mediator, mediator complex
YML073C	RPL6A	4.2	Ribosomal protein L6A (L17A) (rp18) (YL16), protein biosynthesis*, structural protein of ribosome*, cytosolic large ribosomal (60S)-subunit
YHR067W		4.2	biological_process unknown, molecular_function unknown,
YDR457W	TOM1	4.2	hect-domain-containing protein, containing kinase motifs; similar to Rsp5, polyubiquitylation*, ubiquitin--protein ligase, cellular_component unknown
YDR027C	LUV1	4.2	involved in vacuole biogenesis,molecular_function unknown,
YPL059W	GRX5	4.2	Protein with glutaredoxin activity, osmotic response*, glutaredoxin, cellular_component unknown
YDR375C	BCS1	4.2	Mitochondrial ATPase (AAA family), respiration, adenosinetriphosphatase, mitochondrial inner membrane
YNL081C		4.2	biological_process unknown, molecular_function unknown,
YNL167C	SKO1	4.2	CREB like repressor, bZIP protein that binds to CRE motifs, interacts with Mig1p, transcription,
YPL090C	RPS6A	4.2	Ribosomal protein S6A (S10A) (rp9) (YS4), protein biosynthesis, structural protein of ribosome, cytosolic small ribosomal (40S)-subunit
YLR200W	YKE2	4.1	Polypeptide 6 of a Yeast Non-native Actin Binding Complex, homolog of a component of the bovine NABC complex
YDR507C	GIN4	4.1	putative serine threonine kinase, protein phosphorylation*, protein kinase, bud neck
YLR185W	RPL37A	4.1	60S ribosomal protein L37A (L43) (YL35), protein biosynthesis, structural protein of ribosome, cytosolic large ribosomal (60S)-subunit
YCL029C	BIK1	4.1	Microtubule-binding protein, mitotic anaphase B*, microtubule binding, spindle pole body*
YFL036W	RPO41	4.1	mitohcondrial RNA polymerase, mitochondrial genome maintenance*, DNA-directed RNA polymerase, mitochondrial matrix
YDR136C		4.1	biological_process unknown, molecular_function unknown,
YBR163W	DEM1	4.1	Weak similarity to Pta1p (pre-tRNA processing protein), biological_process unknown, molecular_function unknown, cellular_component unknown
YPL078C	ATP4	4.1	F(1)F(0)-ATPase complex delta subunit, mitochondrial, ATP synthesis coupled proton transport, hydrogen-transporting two-sector ATPase, hydrogen-transporting ATP synthase, stator stalk
YBR191W	RPL21A	4.1	Ribosomal protein L21A, protein biosynthesis, structural protein of ribosome, cytosolic large ribosomal (60S)-subunit
YPR139C		4.0	biological_process unknown, molecular_function unknown,
YBR278W	DPB3	4.0	C and C' subunits of DNA polymerase II, nucleotide-excision repair*, epsilon DNA polymerase, replication fork
YBL099W	ATP1	4.0	mitochondrial F1F0-ATPase alpha subunit, ATP synthesis coupled proton transport, hydrogen-transporting two-sector ATPase, hydrogen-transporting ATP synthase, catalytic core
YOR339C	UBC11	4.0	homolog of ubiquitin carrier protein E2-C, polyubiquitylation*, ubiquitin conjugating enzyme, cellular_component unknown
YHR059W	FYV4	4.0	biological_process unknown, molecular_function unknown, cellular_component unknown
YER153C	PET122	4.0	translational activator of cytochrome c oxidase subunit III, protein biosynthesis, molecular_function unknown, mitochondrial inner membrane
YGL163C	RAD54	4.0	DNA-dependent ATPase, DNA repair,
YDR204W	COQ4	4.0	involved in ubiquinone biosynthesis, ubiquinone metabolism,
YBL045C	COR1	4.0	44 kDa core protein of yeast coenzyme QH2 cytochrome c reductase,ubiquinol-cytochrome-c reductase,
YBR084C-A	RPL19A	4.0	Ribosomal protein L19A (L23A) (rpl5L) (YL14), protein biosynthesis, structural protein of ribosome, cytosolic large ribosomal (60S)-subunit
YGR112W	SHY1	4.0	mitochondrial protein with homology to the mammalian SURF-1 gene, respiration, molecular_function unknown, mitochondrial inner membrane
YNL315C	ATP11	3.9	F1FO ATPase assembly protein, protein complex assembly, chaperone, mitochondrial matrix
YEL061C	CIN8	3.9	kinesin-related protein involved in establishment and maintenance of mitotic spindle, mitotic chromosome segregation*, microtubule motor, kinesin*
YKL169C		3.9	biological_process unknown, molecular_function unknown,
YGR166W	KRE11	3.9	involved in cell wall biogenesis
YOR034C	AKR2	3.9	involved in constitutive endocytosis of Ste3p,molecular_function unknown,
YIR009W	MSL1	3.9	encodes YU2B, a component of yeast U2 snRNP, mRNA splicing,
YGL115W	SNF4	3.9	associates with Snf1p
YIL093C	RSM25	3.9	protein of the small subunit of the mitochondrial ribosome
YDR159W	SAC3	3.9	Leucine permease transcriptional regulator, mitosis*, molecular_function unknown, nucleus
YLR091W		3.9	biological_process unknown, molecular_function unknown,
YPR134W	MSS18	3.9	Involved in splicing of mitochondrial COX1 transcript,molecular_function unknown,
YNR010W	CSE2	3.9	Component of RNA polymerase II mediator subcomplex, transcription from Pol II promoter*, RNA polymerase II transcription mediator, mediator complex
YDL107W	MSS2	3.9	cox1 pre-mRNA splicing factor,molecular_function unknown,
YPL005W		3.8	biological_process unknown, molecular_function unknown,
YDL040C	NAT1	3.8	N-terminal acetyltransferase, protein acetylation, peptide alpha-N-acetyltransferase,
YAL010C	MDM10	3.8	Mitochondrial outer membrane protein involved in mitochondrial morphology and inheritance, mitochondrion inheritance*, molecular_function unknown, mitochondrial outer membrane
YPR087W		3.8	biological_process unknown, molecular_function unknown,
YLR044C	PDC1	3.8	pyruvate decarboxylase,alpha-1,3-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase,
YDR120C	TRM1	3.8	N2,N2-dimethylguanosine-specific tRNA methyltransferase,tRNA (guanine-N2-)-methyltransferase,
YPL024W	NCE4	3.8	involved in cell separation
YGL127C	SOH1	3.8	SOH1 encodes a novel 14-kD protein with limited sequence similarity to RNA polymerases. The Soh1 protein interacts with a DNA repair protein, Rad5p, in a two-hybrid system assay., biological_process unknown, molecular_function unknown,
YJR018W		3.8	biological_process unknown, molecular_function unknown,
YKR020W		3.8	biological_process unknown, molecular_function unknown,
YPR125W		3.8	biological_process unknown,
YKL114C	APN1	3.8	major apurinic apyrimidinic endonuclease 3'-repair diesterase,DNA-(apurinic or apyrimidinic site) lyase,
YJL096W	MRPL49	3.8	mitochondrial ribosomal protein of the large subunit, protein biosynthesis, structural protein of ribosome, mitochondrial large ribosomal-subunit
YBR106W	PHO88	3.8	regulator of Pho81, involved in regulating phosphate transport, phosphate transport,
YPL213W	LEA1	3.8	similar to human U2A' snRNP protein, mRNA splicing,
YOR293W	RPS10A	3.8	Ribosomal protein S10A, protein biosynthesis, structural protein of ribosome, cytosolic small ribosomal (40S)-subunit
YOR187W	TUF1	3.8	Translation elongation factor Tu, mitochondrial
YPL017C		3.8	biological_process unknown, molecular_function unknown,
YGR188C	BUB1	3.8	Serine threonine protein kinase required for cell cycle arrest in response to loss of microtubule function, mitotic spindle checkpoint, protein kinase, nucleus
YLR193C		3.8	biological_process unknown, molecular_function unknown,
YNL121C	TOM70	3.7	70 kDa mitochondrial specialized import receptor of the outer membrane, mitochondrial translocation, protein transporter, mitochondrial outer membrane translocase complex
YJL046W		3.7	biological_process unknown, molecular_function unknown,
YGR078C	PAC10	3.7	Polypeptide 3 of a Yeast Non-native Actin Binding Complex, homolog of a component of the bovine NABC complex, tubulin folding, molecular_function unknown, cellular_component unknown
YDR137W	RGP1	3.7	involved in mitotic growth, biological_process unknown, molecular_function unknown,
YML013C-A		3.7	biological_process unknown, molecular_function unknown,
YNL030W	HHF2	3.7	Histone H4 (HHF1 and HHF2 code for identical proteins)
YMR266W	RSN1	3.7	biological_process unknown, molecular_function unknown,
YHR100C		3.7	biological_process unknown, molecular_function unknown,
YKL016C	ATP7	3.7	ATP synthase d subunit, ATP synthesis coupled proton transport, hydrogen-transporting two-sector ATPase, hydrogen-transporting ATP synthase, stator stalk
YPR047W	MSF1	3.7	alpha subunit of yeast mitochondrial phenylalanyl-tRNA synthetase, protein biosynthesis, phenylalanine--tRNA ligase, mitochondrion
YLR061W	RPL22A	3.7	Ribosomal protein L22A (L1c) (rp4) (YL31), protein biosynthesis, structural protein of ribosome, cytosolic large ribosomal (60S)-subunit
YIR005W	IST3	3.7	biological_process unknown, molecular_function unknown, cellular_component unknown
YGR155W	CYS4	3.7	Cystathionine beta-synthase,cystathione beta-synthase,
YOR008C	KIM1	3.7	diepoxybutane and mitomycin C resistance,molecular_function unknown,
YDL061C	RPS29B	3.7	Ribosomal protein S29B (S36B) (YS29), protein biosynthesis, structural protein of ribosome, cytosolic small ribosomal (40S)-subunit
YFL018C	LPD1	3.7	dihydrolipoamide dehydrogenase precursor (mature protein is the E3 component of alpha-ketoacid dehydrogenase complexes), serine biosynthesis*, dihydrolipoamide dehydrogenase, mitochondrial matrix*
YDR450W	RPS18A	3.7	Ribosomal protein S18A, protein biosynthesis, structural protein of ribosome, cytosolic small ribosomal (40S)-subunit
YMR098C		3.7	biological_process unknown, molecular_function unknown,
YGL095C	VPS45	3.7	cytosolic and peripheral membrane protein, Golgi to vacuole transport*, vacuolar assembly, Golgi-vacuole transport vesicle
YDR347W	MRP1	3.6	37 kDa mitochondrial ribosomal protein, protein biosynthesis, structural protein of ribosome, mitochondrial small ribosomal-subunit
YLR069C	MEF1	3.6	mitochondrial elongation factor G-like protein, protein synthesis elongation, translation elongation factor, mitochondrion
YDR231C	COX20	3.6	protein required for maturation and assembly of cytochrome oxidase subunit II, respiration,
YER141W	COX15	3.6	cytochrome oxidase assembly factor, cytochrome c oxidase biogenesis, molecular_function unknown, mitochondrial inner membrane
YLR304C	ACO1	3.6	Aconitase, mitochondrial, tricarboxylic acid cycle*, aconitate hydratase, cytosol*
YDL192W	ARF1	3.6	ADP-ribosylation factor, ER to Golgi transport*, ARF small monomeric GTPase, cytosol*
YLL033W		3.6	biological_process unknown, molecular_function unknown,
YMR256C	COX7	3.6	subunit VII of cytochrome c oxidase,cytochrome-c oxidase,
YOR198C	BFR1	3.6	involved in secretion, cytokinesis*, molecular_function unknown, cellular_component unknown
YGR056W	RSC1	3.6	Member of RSC complex, chromatin modeling, molecular_function unknown, nucleosome remodeling complex
YOR199W		3.6	biological_process unknown, molecular_function unknown,
YPR159W	KRE6	3.6	potential beta-glucan synthase
YML122C		3.6	biological_process unknown, molecular_function unknown,
YKL138C	MRPL31	3.6	15.5 kDa mitochondrial ribosomal protein YmL31, protein biosynthesis, structural protein of ribosome, mitochondrial large ribosomal-subunit
YPR044C		3.6	biological_process unknown, molecular_function unknown,
YNL156C		3.6	biological_process unknown, molecular_function unknown,
YDL033C		3.6	
YNL148C	ALF1	3.6	cofactor B, post-chaperonine tubulin folding pathway*, cochaperone, microtubule
YGR063C	SPT4	3.6	Zn-finger protein, transcriptional regulator, transcription,
YIL017C	VID28	3.6	vacuole import and degradation,molecular_function unknown,
YGR219W		3.6	biological_process unknown, molecular_function unknown,
YDR463W	STP1	3.6	Nuclear-localized protein containing zinc finger motifs, tRNA splicing,
YBR181C	RPS6B	3.6	40S ribosomal gene product S6B (S10B) (rp9) (YS4), protein biosynthesis, structural protein of ribosome, cytosolic small ribosomal (40S)-subunit
YNL119W		3.5	biological_process unknown, molecular_function unknown,
YJL204C		3.5	biological_process unknown, molecular_function unknown,
YCR081W	SRB8	3.5	RNA polymerase II mediator subunit, repression of transcription from Pol II promoter, RNA polymerase II transcription mediator, transcription factor complex
YER054C	GIP2	3.5	(putative) regulator of Glc7, a PP1 family protein phosphatase
YPR164W	KIM3	3.5	killed in mutagen, sensitive to diepoxybutane and or mitomycin C,molecular_function unknown,
YNL320W		3.5	biological_process unknown, molecular_function unknown,
YLL044W		3.5	biological_process unknown, molecular_function unknown,
YDL032W		3.5	biological_process unknown, molecular_function unknown,
YOR205C		3.5	biological_process unknown, molecular_function unknown,
YBR166C	TYR1	3.5	Prephenate dehydrogenase (NADP+),prephenate dehydrogenase (NADP+),
YDR004W	RAD57	3.5	RecA homolog (similar to DMC1, RAD51, and RAD55), interacts with Rad 55p by two-hybrid analysis
YLR062C	BUD28	3.5	biological_process unknown, molecular_function unknown, cellular_component unknown
YIL097W	FYV10	3.5	biological_process unknown, molecular_function unknown, cellular_component unknown
YLL018C-A	COX19	3.5	Cox19p (under characterization),molecular_function unknown,
YFL001W	DEG1	3.5	Depressed growth-rate protein, RNA processing, pseudouridylate synthase, nucleus*
YHR167W	THP2	3.4	biological_process unknown, molecular_function unknown, nucleus
YLR262C	YPT6	3.4	highly homologous to the human GTPase, Rab6
